priority,ipa,word,concept,representationType,homophoneGroup,productivity,assetExists,assetStatus,needsProduction,source
P2,balɛ,balai,balai,IMAGE,balai | balais | ballet,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,balɛn,baleine,baleine,IMAGE,baleine,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,banan,banane,banane,IMAGE,banane,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,bato,bateau,bateau,IMAGE,bateau,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json
P2,bɑ̃k,banque,banque,IMAGE,banque | bque,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,biskɥi,biscuit,biscuit,IMAGE,biscuit,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,bœʁ,beurre,beurre,IMAGE,ber | beurre | boer,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,bɔ̃bɔ̃,bonbon,bonbon,IMAGE,bonbon,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,bɔt,botte,botte,IMAGE,boat | bote | botte,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,buʃ,bouche,bouche,IMAGE,bouche | bush,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,buʒi,bougie,bougie,IMAGE,bougie,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,bwa,bois,bois,IMAGE,bois | boua,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,bys,bus,bus,IMAGE,bus | busse,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,dɑ̃,dent,dent,IMAGE,dent,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,dezɛʁ,désert,désert,IMAGE,désert,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,do,dos,dos,IMAGE,dos,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,dofɛ̃,dauphin,dauphin,IMAGE,dauphin,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,domino,domino,domino,IMAGE,domino,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,egɥij,aiguille,aiguille,IMAGE,aiguille | aiguilles,0,true,EXISTE_NON_VALIDÉ,false,data/rebus-productive-bank-wave4.json
P2,ekɔl,école,école,IMAGE,école,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,epɔ̃ʒ,éponge,éponge,IMAGE,éponge,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,eʃaʁp,écharpe,écharpe,IMAGE,écharpe,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,eʃɛl,échelle,échelle,IMAGE,échèle | échelle,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,etwal,étoile,étoile,IMAGE,étoile,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ɛgl,aigle,aigle,IMAGE,aigle,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ɛʁb,herbe,herbe,IMAGE,herbe,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,flœʁ,fleur,fleur,IMAGE,fleur,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,fø,feu,feu,IMAGE,feu,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,fœj,feuille,feuille,IMAGE,feuille,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,fʁɛz,fraise,fraise,IMAGE,fraise,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,fuʁmi,fourmi,fourmi,IMAGE,fourmi,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,gaʁ,gare,gare,IMAGE,gare | guards | guars,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ibu,hibou,hibou,IMAGE,hibou,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,il,île,île,IMAGE,île,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,kado,cadeau,cadeau,IMAGE,cadeau,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,kamjɔ̃,camion,camion,IMAGE,camion,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,kanaʁ,canard,canard,IMAGE,canard,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,kaʁɔt,carotte,carotte,IMAGE,carotte,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,kle,clé,clé,IMAGE,clé,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json
P2,klɔʃ,cloche,cloche,IMAGE,cloche,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,kœʁ,cœur,cœur,IMAGE,cœur,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,kɔʁ,cor,cor,IMAGE,cor | corps | khor,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,kɔʃɔ̃,cochon,cochon,IMAGE,cochon,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,kʁavat,cravate,cravate,IMAGE,cravate,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,kʁɛjɔ̃,crayon,crayon,IMAGE,crayon,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,kʁwasɑ̃,croissant,croissant,IMAGE,croissant,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,kuto,couteau,couteau,IMAGE,couteau,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json
P2,lapɛ̃,lapin,lapin,IMAGE,lapin,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,lɑ̃p,lampe,lampe,IMAGE,lampe,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,lezaʁ,lézard,lézard,IMAGE,lézard,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,li,lit,lit,IMAGE,lit,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json
